Traces,Baseline IPC,Barca_LIME IPC
client_001.champsimtrace.xz,1.53075,1.53404
client_002.champsimtrace.xz,1.7595,1.77562
client_003.champsimtrace.xz,1.14885,1.15749
client_004.champsimtrace.xz,1.39365,1.38838
client_005.champsimtrace.xz,1.33715,1.36623
client_006.champsimtrace.xz,1.31223,1.3163
client_007.champsimtrace.xz,1.54623,1.54366
client_008.champsimtrace.xz,1.48557,1.4885
server_001.champsimtrace.xz,1.40699,1.41682
server_002.champsimtrace.xz,1.60118,1.60036
server_003.champsimtrace.xz,1.25477,1.2115
server_004.champsimtrace.xz,1.14165,1.11336
server_009.champsimtrace.xz,1.25892,1.23159
server_010.champsimtrace.xz,1.39716,1.35032
server_011.champsimtrace.xz,1.44791,1.39427
server_012.champsimtrace.xz,1.59342,1.59154
server_013.champsimtrace.xz,1.57398,1.53032
server_014.champsimtrace.xz,1.59178,1.60125
server_015.champsimtrace.xz,1.72235,1.73193
server_016.champsimtrace.xz,1.7835,1.75323
server_017.champsimtrace.xz,0.423376,0.421372
server_018.champsimtrace.xz,0.435203,0.431682
server_019.champsimtrace.xz,0.41516,0.411957
server_020.champsimtrace.xz,0.438576,0.433878
server_021.champsimtrace.xz,0.443911,0.439236
server_022.champsimtrace.xz,0.445293,0.440363
server_023.champsimtrace.xz,1.62852,1.59587
server_024.champsimtrace.xz,1.59218,1.57276
server_025.champsimtrace.xz,1.62279,1.60092
server_026.champsimtrace.xz,1.59525,1.54671
server_027.champsimtrace.xz,1.58408,1.55448
server_028.champsimtrace.xz,1.58169,1.54284
server_029.champsimtrace.xz,1.55288,1.55193
server_030.champsimtrace.xz,1.67697,1.61907
server_031.champsimtrace.xz,1.53193,1.51167
server_032.champsimtrace.xz,1.69641,1.68314
server_033.champsimtrace.xz,1.69641,1.67235
server_034.champsimtrace.xz,1.75818,1.73057
server_035.champsimtrace.xz,1.31124,1.29807
server_036.champsimtrace.xz,1.91047,1.91576
server_037.champsimtrace.xz,1.93509,1.92599
server_038.champsimtrace.xz,1.95588,1.9477
server_039.champsimtrace.xz,1.88168,1.87716
spec_gcc_001.champsimtrace.xz,1.53838,1.54628
spec_gcc_002.champsimtrace.xz,0.223979,0.226292
spec_gcc_003.champsimtrace.xz,0.257821,0.265899
spec_gobmk_001.champsimtrace.xz,1.2949,1.29727
spec_gobmk_002.champsimtrace.xz,1.29213,1.29265
spec_perlbench_001.champsimtrace.xz,1.63761,1.6502
spec_x264_001.champsimtrace.xz,2.62485,2.62868
