Traces,Baseline IPC,Barca_SRRIP_ConfV6 IPC
client_001.champsimtrace.xz,1.53075,1.55369
client_002.champsimtrace.xz,1.7595,1.80454
client_003.champsimtrace.xz,1.14885,1.16581
client_004.champsimtrace.xz,1.39365,1.40003
client_005.champsimtrace.xz,1.33715,1.37972
client_006.champsimtrace.xz,1.31223,1.33604
client_007.champsimtrace.xz,1.54623,1.59286
client_008.champsimtrace.xz,1.48557,1.52928
server_001.champsimtrace.xz,1.40699,1.44447
server_002.champsimtrace.xz,1.60118,1.59955
server_003.champsimtrace.xz,1.25477,1.24593
server_004.champsimtrace.xz,1.14165,1.15276
server_009.champsimtrace.xz,1.25892,1.28563
server_010.champsimtrace.xz,1.39716,1.44375
server_011.champsimtrace.xz,1.44791,1.49241
server_012.champsimtrace.xz,1.59342,1.69009
server_013.champsimtrace.xz,1.57398,1.60843
server_014.champsimtrace.xz,1.59178,1.59925
server_015.champsimtrace.xz,1.72235,1.73191
server_016.champsimtrace.xz,1.7835,1.84893
server_017.champsimtrace.xz,0.423376,0.423856
server_018.champsimtrace.xz,0.435203,0.435206
server_019.champsimtrace.xz,0.41516,0.415146
server_020.champsimtrace.xz,0.438576,0.436369
server_021.champsimtrace.xz,0.443911,0.442188
server_022.champsimtrace.xz,0.445293,0.44289
server_023.champsimtrace.xz,1.62852,1.69214
server_024.champsimtrace.xz,1.59218,1.67662
server_025.champsimtrace.xz,1.62279,1.69658
server_026.champsimtrace.xz,1.59525,1.6657
server_027.champsimtrace.xz,1.58408,1.66614
server_028.champsimtrace.xz,1.58169,1.63386
server_029.champsimtrace.xz,1.55288,1.63046
server_030.champsimtrace.xz,1.67697,1.71948
server_031.champsimtrace.xz,1.53193,1.59444
server_032.champsimtrace.xz,1.69641,1.7754
server_033.champsimtrace.xz,1.69641,1.80687
server_034.champsimtrace.xz,1.75818,1.89151
server_035.champsimtrace.xz,1.31124,1.36452
server_036.champsimtrace.xz,1.91047,1.99281
server_037.champsimtrace.xz,1.93509,1.99839
server_038.champsimtrace.xz,1.95588,2.02198
server_039.champsimtrace.xz,1.88168,1.96982
spec_gcc_001.champsimtrace.xz,1.53838,1.55514
spec_gcc_002.champsimtrace.xz,0.223979,0.227208
spec_gcc_003.champsimtrace.xz,0.257821,0.267248
spec_gobmk_001.champsimtrace.xz,1.2949,1.32149
spec_gobmk_002.champsimtrace.xz,1.29213,1.32543
spec_perlbench_001.champsimtrace.xz,1.63761,1.66898
spec_x264_001.champsimtrace.xz,2.62485,2.67033
