Traces,Baseline IPC,Barca_SRRIP_Conf_V10 IPC
client_001.champsimtrace.xz,1.53075,1.55632
client_002.champsimtrace.xz,1.7595,1.80352
client_003.champsimtrace.xz,1.14885,1.16452
client_004.champsimtrace.xz,1.39365,1.39925
client_005.champsimtrace.xz,1.33715,1.3787
client_006.champsimtrace.xz,1.31223,1.33507
client_007.champsimtrace.xz,1.54623,1.59162
client_008.champsimtrace.xz,1.48557,1.53155
server_001.champsimtrace.xz,1.40699,1.44728
server_002.champsimtrace.xz,1.60118,1.60542
server_003.champsimtrace.xz,1.25477,1.24427
server_004.champsimtrace.xz,1.14165,1.15727
server_009.champsimtrace.xz,1.25892,1.2879
server_010.champsimtrace.xz,1.39716,1.4493
server_011.champsimtrace.xz,1.44791,1.49918
server_012.champsimtrace.xz,1.59342,1.67064
server_013.champsimtrace.xz,1.57398,1.60699
server_014.champsimtrace.xz,1.59178,1.60352
server_015.champsimtrace.xz,1.72235,1.73444
server_016.champsimtrace.xz,1.7835,1.85255
server_017.champsimtrace.xz,0.423376,0.422674
server_018.champsimtrace.xz,0.435203,0.433767
server_019.champsimtrace.xz,0.41516,0.415639
server_020.champsimtrace.xz,0.438576,0.433941
server_021.champsimtrace.xz,0.443911,0.440898
server_022.champsimtrace.xz,0.445293,0.443094
server_023.champsimtrace.xz,1.62852,1.69373
server_024.champsimtrace.xz,1.59218,1.67615
server_025.champsimtrace.xz,1.62279,1.69019
server_026.champsimtrace.xz,1.59525,1.67361
server_027.champsimtrace.xz,1.58408,1.66371
server_028.champsimtrace.xz,1.58169,1.64068
server_029.champsimtrace.xz,1.55288,1.63292
server_030.champsimtrace.xz,1.67697,1.72491
server_031.champsimtrace.xz,1.53193,1.60093
server_032.champsimtrace.xz,1.69641,1.78031
server_033.champsimtrace.xz,1.69641,1.80352
server_034.champsimtrace.xz,1.75818,1.89201
server_035.champsimtrace.xz,1.31124,1.36383
server_036.champsimtrace.xz,1.91047,1.98965
server_037.champsimtrace.xz,1.93509,2.00063
server_038.champsimtrace.xz,1.95588,2.02358
server_039.champsimtrace.xz,1.88168,1.97664
spec_gcc_001.champsimtrace.xz,1.53838,1.55518
spec_gcc_002.champsimtrace.xz,0.223979,0.226796
spec_gcc_003.champsimtrace.xz,0.257821,0.266349
spec_gobmk_001.champsimtrace.xz,1.2949,1.3218
spec_gobmk_002.champsimtrace.xz,1.29213,1.32543
spec_perlbench_001.champsimtrace.xz,1.63761,1.66975
spec_x264_001.champsimtrace.xz,2.62485,2.67033
