Traces,Baseline IPC,Barca_SRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55523
client_002.champsimtrace.xz,1.7595,1.80389
client_003.champsimtrace.xz,1.14885,1.16526
client_004.champsimtrace.xz,1.39365,1.40029
client_005.champsimtrace.xz,1.33715,1.37944
client_006.champsimtrace.xz,1.31223,1.33554
client_007.champsimtrace.xz,1.54623,1.59081
client_008.champsimtrace.xz,1.48557,1.52668
server_001.champsimtrace.xz,1.40699,1.44567
server_002.champsimtrace.xz,1.60118,1.59524
server_003.champsimtrace.xz,1.25477,1.25139
server_004.champsimtrace.xz,1.14165,1.15726
server_009.champsimtrace.xz,1.25892,1.28691
server_010.champsimtrace.xz,1.39716,1.447
server_011.champsimtrace.xz,1.44791,1.49122
server_012.champsimtrace.xz,1.59342,1.6923
server_013.champsimtrace.xz,1.57398,1.62827
server_014.champsimtrace.xz,1.59178,1.60305
server_015.champsimtrace.xz,1.72235,1.73231
server_016.champsimtrace.xz,1.7835,1.85201
server_017.champsimtrace.xz,0.423376,0.423837
server_018.champsimtrace.xz,0.435203,0.435394
server_019.champsimtrace.xz,0.41516,0.415291
server_020.champsimtrace.xz,0.438576,0.435583
server_021.champsimtrace.xz,0.443911,0.43925
server_022.champsimtrace.xz,0.445293,0.44052
server_023.champsimtrace.xz,1.62852,1.68908
server_024.champsimtrace.xz,1.59218,1.67395
server_025.champsimtrace.xz,1.62279,1.69702
server_026.champsimtrace.xz,1.59525,1.66347
server_027.champsimtrace.xz,1.58408,1.66611
server_028.champsimtrace.xz,1.58169,1.63119
server_029.champsimtrace.xz,1.55288,1.63011
server_030.champsimtrace.xz,1.67697,1.72454
server_031.champsimtrace.xz,1.53193,1.60241
server_032.champsimtrace.xz,1.69641,1.77779
server_033.champsimtrace.xz,1.69641,1.80784
server_034.champsimtrace.xz,1.75818,1.88765
server_035.champsimtrace.xz,1.31124,1.36284
server_036.champsimtrace.xz,1.91047,1.99731
server_037.champsimtrace.xz,1.93509,1.99788
server_038.champsimtrace.xz,1.95588,2.01604
server_039.champsimtrace.xz,1.88168,1.96877
spec_gcc_001.champsimtrace.xz,1.53838,1.55718
spec_gcc_002.champsimtrace.xz,0.223979,0.226613
spec_gcc_003.champsimtrace.xz,0.257821,0.265754
spec_gobmk_001.champsimtrace.xz,1.2949,1.32149
spec_gobmk_002.champsimtrace.xz,1.29213,1.32554
spec_perlbench_001.champsimtrace.xz,1.63761,1.66905
spec_x264_001.champsimtrace.xz,2.62485,2.67017
