Traces,Baseline IPC,FNL-MMA IPC
client_001.champsimtrace.xz,1.53075,1.55717
client_002.champsimtrace.xz,1.7595,1.81518
client_003.champsimtrace.xz,1.14885,1.18457
client_004.champsimtrace.xz,1.39365,1.57573
client_005.champsimtrace.xz,1.33715,1.415
client_006.champsimtrace.xz,1.31223,1.35135
client_007.champsimtrace.xz,1.54623,1.61369
client_008.champsimtrace.xz,1.48557,1.56371
server_001.champsimtrace.xz,1.40699,1.48538
server_002.champsimtrace.xz,1.60118,1.61911
server_003.champsimtrace.xz,1.25477,1.41235
server_004.champsimtrace.xz,1.14165,1.27033
server_009.champsimtrace.xz,1.25892,1.35457
server_010.champsimtrace.xz,1.39716,1.53724
server_011.champsimtrace.xz,1.44791,1.66946
server_012.champsimtrace.xz,1.59342,1.80983
server_013.champsimtrace.xz,1.57398,1.77791
server_014.champsimtrace.xz,1.59178,1.64287
server_015.champsimtrace.xz,1.72235,1.75793
server_016.champsimtrace.xz,1.7835,1.93843
server_017.champsimtrace.xz,0.423376,0.427439
server_018.champsimtrace.xz,0.435203,0.439865
server_019.champsimtrace.xz,0.41516,0.419352
server_020.champsimtrace.xz,0.438576,0.443298
server_021.champsimtrace.xz,0.443911,0.448197
server_022.champsimtrace.xz,0.445293,0.449848
server_023.champsimtrace.xz,1.62852,1.77705
server_024.champsimtrace.xz,1.59218,1.75123
server_025.champsimtrace.xz,1.62279,1.78357
server_026.champsimtrace.xz,1.59525,1.76568
server_027.champsimtrace.xz,1.58408,1.75948
server_028.champsimtrace.xz,1.58169,1.70424
server_029.champsimtrace.xz,1.55288,1.70321
server_030.champsimtrace.xz,1.67697,1.81604
server_031.champsimtrace.xz,1.53193,1.66617
server_032.champsimtrace.xz,1.69641,1.84143
server_033.champsimtrace.xz,1.69641,1.87063
server_034.champsimtrace.xz,1.75818,1.96205
server_035.champsimtrace.xz,1.31124,1.39497
server_036.champsimtrace.xz,1.91047,2.07584
server_037.champsimtrace.xz,1.93509,2.04404
server_038.champsimtrace.xz,1.95588,2.0598
server_039.champsimtrace.xz,1.88168,2.01583
spec_gcc_001.champsimtrace.xz,1.53838,1.60205
spec_gcc_002.champsimtrace.xz,0.223979,0.240604
spec_gcc_003.champsimtrace.xz,0.257821,0.265614
spec_gobmk_001.champsimtrace.xz,1.2949,1.31516
spec_gobmk_002.champsimtrace.xz,1.29213,1.3218
spec_perlbench_001.champsimtrace.xz,1.63761,1.66994
spec_x264_001.champsimtrace.xz,2.62485,2.67287
