Traces,Baseline IPC,MANA_DRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55083
client_002.champsimtrace.xz,1.7595,1.79722
client_003.champsimtrace.xz,1.14885,1.16685
client_004.champsimtrace.xz,1.39365,1.44231
client_005.champsimtrace.xz,1.33715,1.37793
client_006.champsimtrace.xz,1.31223,1.34371
client_007.champsimtrace.xz,1.54623,1.59239
client_008.champsimtrace.xz,1.48557,1.53343
server_001.champsimtrace.xz,1.40699,1.46931
server_002.champsimtrace.xz,1.60118,1.62139
server_003.champsimtrace.xz,1.25477,1.33665
server_004.champsimtrace.xz,1.14165,1.20016
server_009.champsimtrace.xz,1.25892,1.3216
server_010.champsimtrace.xz,1.39716,1.48331
server_011.champsimtrace.xz,1.44791,1.5492
server_012.champsimtrace.xz,1.59342,1.72759
server_013.champsimtrace.xz,1.57398,1.69989
server_014.champsimtrace.xz,1.59178,1.63499
server_015.champsimtrace.xz,1.72235,1.7584
server_016.champsimtrace.xz,1.7835,1.86679
server_017.champsimtrace.xz,0.423376,0.426489
server_018.champsimtrace.xz,0.435203,0.438852
server_019.champsimtrace.xz,0.41516,0.418369
server_020.champsimtrace.xz,0.438576,0.442255
server_021.champsimtrace.xz,0.443911,0.447225
server_022.champsimtrace.xz,0.445293,0.448663
server_023.champsimtrace.xz,1.62852,1.70911
server_024.champsimtrace.xz,1.59218,1.67737
server_025.champsimtrace.xz,1.62279,1.70848
server_026.champsimtrace.xz,1.59525,1.68824
server_027.champsimtrace.xz,1.58408,1.67926
server_028.champsimtrace.xz,1.58169,1.64852
server_029.champsimtrace.xz,1.55288,1.63953
server_030.champsimtrace.xz,1.67697,1.75311
server_031.champsimtrace.xz,1.53193,1.60735
server_032.champsimtrace.xz,1.69641,1.77794
server_033.champsimtrace.xz,1.69641,1.80861
server_034.champsimtrace.xz,1.75818,1.88524
server_035.champsimtrace.xz,1.31124,1.36743
server_036.champsimtrace.xz,1.91047,2.03576
server_037.champsimtrace.xz,1.93509,2.02287
server_038.champsimtrace.xz,1.95588,2.04202
server_039.champsimtrace.xz,1.88168,1.99154
spec_gcc_001.champsimtrace.xz,1.53838,1.56019
spec_gcc_002.champsimtrace.xz,0.223979,0.226996
spec_gcc_003.champsimtrace.xz,0.257821,0.265361
spec_gobmk_001.champsimtrace.xz,1.2949,1.31453
spec_gobmk_002.champsimtrace.xz,1.29213,1.31869
spec_perlbench_001.champsimtrace.xz,1.63761,1.66444
spec_x264_001.champsimtrace.xz,2.62485,2.66547
