Traces,Baseline IPC,SRRIP IPC
client_001.champsimtrace.xz,1.53075,1.53165
client_002.champsimtrace.xz,1.7595,1.76157
client_003.champsimtrace.xz,1.14885,1.14927
client_004.champsimtrace.xz,1.39365,1.39438
client_005.champsimtrace.xz,1.33715,1.3372
client_006.champsimtrace.xz,1.31223,1.31644
client_007.champsimtrace.xz,1.54623,1.55009
client_008.champsimtrace.xz,1.48557,1.48921
server_001.champsimtrace.xz,1.40699,1.40993
server_002.champsimtrace.xz,1.60118,1.60679
server_003.champsimtrace.xz,1.25477,1.25514
server_004.champsimtrace.xz,1.14165,1.14164
server_009.champsimtrace.xz,1.25892,1.25856
server_010.champsimtrace.xz,1.39716,1.39673
server_011.champsimtrace.xz,1.44791,1.44781
server_012.champsimtrace.xz,1.59342,1.59194
server_013.champsimtrace.xz,1.57398,1.57324
server_014.champsimtrace.xz,1.59178,1.61293
server_015.champsimtrace.xz,1.72235,1.73956
server_016.champsimtrace.xz,1.7835,1.77967
server_017.champsimtrace.xz,0.423376,0.424115
server_018.champsimtrace.xz,0.435203,0.435522
server_019.champsimtrace.xz,0.41516,0.41573
server_020.champsimtrace.xz,0.438576,0.439056
server_021.champsimtrace.xz,0.443911,0.444067
server_022.champsimtrace.xz,0.445293,0.445425
server_023.champsimtrace.xz,1.62852,1.62497
server_024.champsimtrace.xz,1.59218,1.58856
server_025.champsimtrace.xz,1.62279,1.61929
server_026.champsimtrace.xz,1.59525,1.59169
server_027.champsimtrace.xz,1.58408,1.58045
server_028.champsimtrace.xz,1.58169,1.57921
server_029.champsimtrace.xz,1.55288,1.55096
server_030.champsimtrace.xz,1.67697,1.67389
server_031.champsimtrace.xz,1.53193,1.52879
server_032.champsimtrace.xz,1.69641,1.69144
server_033.champsimtrace.xz,1.69641,1.69273
server_034.champsimtrace.xz,1.75818,1.75412
server_035.champsimtrace.xz,1.31124,1.31098
server_036.champsimtrace.xz,1.91047,1.92919
server_037.champsimtrace.xz,1.93509,1.93931
server_038.champsimtrace.xz,1.95588,1.96068
server_039.champsimtrace.xz,1.88168,1.89025
spec_gcc_001.champsimtrace.xz,1.53838,1.53971
spec_gcc_002.champsimtrace.xz,0.223979,0.224247
spec_gcc_003.champsimtrace.xz,0.257821,0.258181
spec_gobmk_001.champsimtrace.xz,1.2949,1.29676
spec_gobmk_002.champsimtrace.xz,1.29213,1.29506
spec_perlbench_001.champsimtrace.xz,1.63761,1.63913
spec_x264_001.champsimtrace.xz,2.62485,2.63554
