Traces,Baseline IPC,MANA IPC
client_001.champsimtrace.xz,1.53075,1.5513
client_002.champsimtrace.xz,1.7595,1.79748
client_003.champsimtrace.xz,1.14885,1.16702
client_004.champsimtrace.xz,1.39365,1.44266
client_005.champsimtrace.xz,1.33715,1.37853
client_006.champsimtrace.xz,1.31223,1.34409
client_007.champsimtrace.xz,1.54623,1.59297
client_008.champsimtrace.xz,1.48557,1.53373
server_001.champsimtrace.xz,1.40699,1.47002
server_002.champsimtrace.xz,1.60118,1.63483
server_003.champsimtrace.xz,1.25477,1.33673
server_004.champsimtrace.xz,1.14165,1.20135
server_009.champsimtrace.xz,1.25892,1.32223
server_010.champsimtrace.xz,1.39716,1.48438
server_011.champsimtrace.xz,1.44791,1.55038
server_012.champsimtrace.xz,1.59342,1.73012
server_013.champsimtrace.xz,1.57398,1.70131
server_014.champsimtrace.xz,1.59178,1.63187
server_015.champsimtrace.xz,1.72235,1.75363
server_016.champsimtrace.xz,1.7835,1.8682
server_017.champsimtrace.xz,0.423376,0.426521
server_018.champsimtrace.xz,0.435203,0.439029
server_019.champsimtrace.xz,0.41516,0.418406
server_020.champsimtrace.xz,0.438576,0.442496
server_021.champsimtrace.xz,0.443911,0.447407
server_022.champsimtrace.xz,0.445293,0.448845
server_023.champsimtrace.xz,1.62852,1.71046
server_024.champsimtrace.xz,1.59218,1.67858
server_025.champsimtrace.xz,1.62279,1.70967
server_026.champsimtrace.xz,1.59525,1.68982
server_027.champsimtrace.xz,1.58408,1.68076
server_028.champsimtrace.xz,1.58169,1.65098
server_029.champsimtrace.xz,1.55288,1.64116
server_030.champsimtrace.xz,1.67697,1.75472
server_031.champsimtrace.xz,1.53193,1.60853
server_032.champsimtrace.xz,1.69641,1.78022
server_033.champsimtrace.xz,1.69641,1.81101
server_034.champsimtrace.xz,1.75818,1.88874
server_035.champsimtrace.xz,1.31124,1.36871
server_036.champsimtrace.xz,1.91047,2.0399
server_037.champsimtrace.xz,1.93509,2.02224
server_038.champsimtrace.xz,1.95588,2.04408
server_039.champsimtrace.xz,1.88168,2.00003
spec_gcc_001.champsimtrace.xz,1.53838,1.56022
spec_gcc_002.champsimtrace.xz,0.223979,0.227005
spec_gcc_003.champsimtrace.xz,0.257821,0.265479
spec_gobmk_001.champsimtrace.xz,1.2949,1.31403
spec_gobmk_002.champsimtrace.xz,1.29213,1.31787
spec_perlbench_001.champsimtrace.xz,1.63761,1.66481
spec_x264_001.champsimtrace.xz,2.62485,2.66621
