Traces,Baseline IPC,Barca IPC
client_001.champsimtrace.xz,0.971485,1.0142
client_002.champsimtrace.xz,1.2357,1.37774
client_003.champsimtrace.xz,0.946093,1.00962
client_004.champsimtrace.xz,1.01779,1.10705
client_005.champsimtrace.xz,0.99697,1.10311
client_006.champsimtrace.xz,0.793325,0.867878
client_007.champsimtrace.xz,0.987859,1.10297
client_008.champsimtrace.xz,0.993548,1.07308
server_001.champsimtrace.xz,0.876525,1.00487
server_002.champsimtrace.xz,1.28475,1.4951
server_003.champsimtrace.xz,0.763768,0.92894
server_004.champsimtrace.xz,0.607689,0.736252
server_009.champsimtrace.xz,0.625405,0.762015
server_010.champsimtrace.xz,0.680623,0.869691
server_011.champsimtrace.xz,0.788531,1.05529
server_012.champsimtrace.xz,0.7932,1.11273
server_013.champsimtrace.xz,0.763907,1.07804
server_014.champsimtrace.xz,1.08271,1.41692
server_015.champsimtrace.xz,1.12801,1.50504
server_016.champsimtrace.xz,0.899607,1.2329
server_017.champsimtrace.xz,0.316959,0.339042
server_018.champsimtrace.xz,0.330731,0.357546
server_019.champsimtrace.xz,0.312674,0.334361
server_020.champsimtrace.xz,0.331548,0.358444
server_021.champsimtrace.xz,0.337511,0.366451
server_022.champsimtrace.xz,0.33838,0.367507
server_023.champsimtrace.xz,0.844059,1.21794
server_024.champsimtrace.xz,0.831351,1.21567
server_025.champsimtrace.xz,0.855832,1.2605
server_026.champsimtrace.xz,0.809649,1.21374
server_027.champsimtrace.xz,0.799818,1.21434
server_028.champsimtrace.xz,0.785031,1.13206
server_029.champsimtrace.xz,0.780533,1.1274
server_030.champsimtrace.xz,0.813704,1.211
server_031.champsimtrace.xz,0.773972,1.12692
server_032.champsimtrace.xz,0.802385,1.24765
server_033.champsimtrace.xz,0.875392,1.30108
server_034.champsimtrace.xz,0.898792,1.416
server_035.champsimtrace.xz,0.734488,0.976841
server_036.champsimtrace.xz,0.870271,1.60846
server_037.champsimtrace.xz,0.85169,1.43402
server_038.champsimtrace.xz,0.854311,1.43471
server_039.champsimtrace.xz,0.85906,1.56613
spec_gcc_001.champsimtrace.xz,1.08585,1.12219
spec_gcc_002.champsimtrace.xz,0.182299,0.190324
spec_gcc_003.champsimtrace.xz,0.222201,0.242146
spec_gobmk_001.champsimtrace.xz,0.974015,1.02619
spec_gobmk_002.champsimtrace.xz,1.08221,1.16572
spec_perlbench_001.champsimtrace.xz,1.12345,1.17672
spec_x264_001.champsimtrace.xz,1.48507,1.58309
