Traces,Baseline IPC,D_JOLT IPC
client_001.champsimtrace.xz,0.971485,1.01134
client_002.champsimtrace.xz,1.2357,1.3903
client_003.champsimtrace.xz,0.946093,1.00006
client_004.champsimtrace.xz,1.01779,1.10092
client_005.champsimtrace.xz,0.99697,1.07839
client_006.champsimtrace.xz,0.793325,0.867705
client_007.champsimtrace.xz,0.987859,1.10383
client_008.champsimtrace.xz,0.993548,1.0737
server_001.champsimtrace.xz,0.876525,1.00678
server_002.champsimtrace.xz,1.28475,1.49684
server_003.champsimtrace.xz,0.763768,0.926646
server_004.champsimtrace.xz,0.607689,0.733977
server_009.champsimtrace.xz,0.625405,0.764001
server_010.champsimtrace.xz,0.680623,0.8729
server_011.champsimtrace.xz,0.788531,1.05103
server_012.champsimtrace.xz,0.7932,1.1188
server_013.champsimtrace.xz,0.763907,1.07919
server_014.champsimtrace.xz,1.08271,1.4285
server_015.champsimtrace.xz,1.12801,1.51741
server_016.champsimtrace.xz,0.899607,1.24636
server_017.champsimtrace.xz,0.316959,0.3396
server_018.champsimtrace.xz,0.330731,0.35824
server_019.champsimtrace.xz,0.312674,0.3348
server_020.champsimtrace.xz,0.331548,0.359945
server_021.champsimtrace.xz,0.337511,0.366875
server_022.champsimtrace.xz,0.33838,0.368457
server_023.champsimtrace.xz,0.844059,1.23419
server_024.champsimtrace.xz,0.831351,1.23913
server_025.champsimtrace.xz,0.855832,1.29269
server_026.champsimtrace.xz,0.809649,1.23844
server_027.champsimtrace.xz,0.799818,1.24086
server_028.champsimtrace.xz,0.785031,1.14098
server_029.champsimtrace.xz,0.780533,1.13676
server_030.champsimtrace.xz,0.813704,1.21635
server_031.champsimtrace.xz,0.773972,1.14082
server_032.champsimtrace.xz,0.802385,1.27118
server_033.champsimtrace.xz,0.875392,1.31895
server_034.champsimtrace.xz,0.898792,1.44009
server_035.champsimtrace.xz,0.734488,0.988201
server_036.champsimtrace.xz,0.870271,1.6442
server_037.champsimtrace.xz,0.85169,1.44954
server_038.champsimtrace.xz,0.854311,1.46697
server_039.champsimtrace.xz,0.85906,1.59461
spec_gcc_001.champsimtrace.xz,1.08585,1.11335
spec_gcc_002.champsimtrace.xz,0.182299,0.189319
spec_gcc_003.champsimtrace.xz,0.222201,0.242262
spec_gobmk_001.champsimtrace.xz,0.974015,1.02073
spec_gobmk_002.champsimtrace.xz,1.08221,1.15708
spec_perlbench_001.champsimtrace.xz,1.12345,1.17156
spec_x264_001.champsimtrace.xz,1.48507,1.58041
