Traces,Baseline IPC,EIP-reduced IPC
client_001.champsimtrace.xz,0.971485,1.00556
client_002.champsimtrace.xz,1.2357,1.3011
client_003.champsimtrace.xz,0.946093,0.979753
client_004.champsimtrace.xz,1.01779,1.06025
client_005.champsimtrace.xz,0.99697,1.04953
client_006.champsimtrace.xz,0.793325,0.849539
client_007.champsimtrace.xz,0.987859,1.09707
client_008.champsimtrace.xz,0.993548,1.06319
server_001.champsimtrace.xz,0.876525,0.914472
server_002.champsimtrace.xz,1.28475,1.49444
server_003.champsimtrace.xz,0.763768,0.792874
server_004.champsimtrace.xz,0.607689,0.626468
server_009.champsimtrace.xz,0.625405,0.647432
server_010.champsimtrace.xz,0.680623,0.710653
server_011.champsimtrace.xz,0.788531,0.833714
server_012.champsimtrace.xz,0.7932,0.842322
server_013.champsimtrace.xz,0.763907,0.806042
server_014.champsimtrace.xz,1.08271,1.4075
server_015.champsimtrace.xz,1.12801,1.52059
server_016.champsimtrace.xz,0.899607,1.00419
server_017.champsimtrace.xz,0.316959,0.339213
server_018.champsimtrace.xz,0.330731,0.357781
server_019.champsimtrace.xz,0.312674,0.334308
server_020.champsimtrace.xz,0.331548,0.358603
server_021.champsimtrace.xz,0.337511,0.366654
server_022.champsimtrace.xz,0.33838,0.367786
server_023.champsimtrace.xz,0.844059,0.95016
server_024.champsimtrace.xz,0.831351,0.942691
server_025.champsimtrace.xz,0.855832,0.958388
server_026.champsimtrace.xz,0.809649,0.90311
server_027.champsimtrace.xz,0.799818,0.890573
server_028.champsimtrace.xz,0.785031,0.941303
server_029.champsimtrace.xz,0.780533,0.940406
server_030.champsimtrace.xz,0.813704,0.969387
server_031.champsimtrace.xz,0.773972,0.933032
server_032.champsimtrace.xz,0.802385,0.961896
server_033.champsimtrace.xz,0.875392,1.3049
server_034.champsimtrace.xz,0.898792,1.41947
server_035.champsimtrace.xz,0.734488,0.979403
server_036.champsimtrace.xz,0.870271,1.6325
server_037.champsimtrace.xz,0.85169,1.46157
server_038.champsimtrace.xz,0.854311,1.46387
server_039.champsimtrace.xz,0.85906,1.60521
spec_gcc_001.champsimtrace.xz,1.08585,1.11126
spec_gcc_002.champsimtrace.xz,0.182299,0.189889
spec_gcc_003.champsimtrace.xz,0.222201,0.241817
spec_gobmk_001.champsimtrace.xz,0.974015,1.02146
spec_gobmk_002.champsimtrace.xz,1.08221,1.1596
spec_perlbench_001.champsimtrace.xz,1.12345,1.16852
spec_x264_001.champsimtrace.xz,1.48507,1.58296
