Traces,Baseline IPC,FNL-MMA280520-reduced IPC
client_001.champsimtrace.xz,0.971485,1.01469
client_002.champsimtrace.xz,1.2357,1.34933
client_003.champsimtrace.xz,0.946093,1.00216
client_004.champsimtrace.xz,1.01779,1.14338
client_005.champsimtrace.xz,0.99697,1.08708
client_006.champsimtrace.xz,0.793325,0.865817
client_007.champsimtrace.xz,0.987859,1.10299
client_008.champsimtrace.xz,0.993548,1.0743
server_001.champsimtrace.xz,0.876525,0.995082
server_002.champsimtrace.xz,1.28475,1.48983
server_003.champsimtrace.xz,0.763768,0.919113
server_004.champsimtrace.xz,0.607689,0.727578
server_009.champsimtrace.xz,0.625405,0.744743
server_010.champsimtrace.xz,0.680623,0.848855
server_011.champsimtrace.xz,0.788531,1.03324
server_012.champsimtrace.xz,0.7932,1.07347
server_013.champsimtrace.xz,0.763907,1.03424
server_014.champsimtrace.xz,1.08271,1.42631
server_015.champsimtrace.xz,1.12801,1.51648
server_016.champsimtrace.xz,0.899607,1.2133
server_017.champsimtrace.xz,0.316959,0.339412
server_018.champsimtrace.xz,0.330731,0.358073
server_019.champsimtrace.xz,0.312674,0.334737
server_020.champsimtrace.xz,0.331548,0.35886
server_021.champsimtrace.xz,0.337511,0.367025
server_022.champsimtrace.xz,0.33838,0.36803
server_023.champsimtrace.xz,0.844059,1.20021
server_024.champsimtrace.xz,0.831351,1.19604
server_025.champsimtrace.xz,0.855832,1.23948
server_026.champsimtrace.xz,0.809649,1.18891
server_027.champsimtrace.xz,0.799818,1.19875
server_028.champsimtrace.xz,0.785031,1.12788
server_029.champsimtrace.xz,0.780533,1.12405
server_030.champsimtrace.xz,0.813704,1.1994
server_031.champsimtrace.xz,0.773972,1.12938
server_032.champsimtrace.xz,0.802385,1.26642
server_033.champsimtrace.xz,0.875392,1.32616
server_034.champsimtrace.xz,0.898792,1.44208
server_035.champsimtrace.xz,0.734488,0.989801
server_036.champsimtrace.xz,0.870271,1.63301
server_037.champsimtrace.xz,0.85169,1.46694
server_038.champsimtrace.xz,0.854311,1.47247
server_039.champsimtrace.xz,0.85906,1.60904
spec_gcc_001.champsimtrace.xz,1.08585,1.12806
spec_gcc_002.champsimtrace.xz,0.182299,0.195528
spec_gcc_003.champsimtrace.xz,0.222201,0.241006
spec_gobmk_001.champsimtrace.xz,0.974015,1.00734
spec_gobmk_002.champsimtrace.xz,1.08221,1.13949
spec_perlbench_001.champsimtrace.xz,1.12345,1.16574
spec_x264_001.champsimtrace.xz,1.48507,1.58335
