Traces,Baseline IPC,FNL-MMA280520 IPC
client_001.champsimtrace.xz,0.971485,1.01465
client_002.champsimtrace.xz,1.2357,1.38542
client_003.champsimtrace.xz,0.946093,1.01118
client_004.champsimtrace.xz,1.01779,1.16679
client_005.champsimtrace.xz,0.99697,1.09902
client_006.champsimtrace.xz,0.793325,0.867902
client_007.champsimtrace.xz,0.987859,1.10572
client_008.champsimtrace.xz,0.993548,1.08021
server_001.champsimtrace.xz,0.876525,1.00727
server_002.champsimtrace.xz,1.28475,1.48948
server_003.champsimtrace.xz,0.763768,0.966892
server_004.champsimtrace.xz,0.607689,0.750762
server_009.champsimtrace.xz,0.625405,0.767172
server_010.champsimtrace.xz,0.680623,0.876009
server_011.champsimtrace.xz,0.788531,1.08302
server_012.champsimtrace.xz,0.7932,1.12502
server_013.champsimtrace.xz,0.763907,1.08994
server_014.champsimtrace.xz,1.08271,1.42551
server_015.champsimtrace.xz,1.12801,1.51229
server_016.champsimtrace.xz,0.899607,1.24493
server_017.champsimtrace.xz,0.316959,0.339728
server_018.champsimtrace.xz,0.330731,0.358328
server_019.champsimtrace.xz,0.312674,0.33485
server_020.champsimtrace.xz,0.331548,0.359179
server_021.champsimtrace.xz,0.337511,0.366989
server_022.champsimtrace.xz,0.33838,0.368127
server_023.champsimtrace.xz,0.844059,1.23668
server_024.champsimtrace.xz,0.831351,1.23469
server_025.champsimtrace.xz,0.855832,1.28272
server_026.champsimtrace.xz,0.809649,1.22921
server_027.champsimtrace.xz,0.799818,1.23566
server_028.champsimtrace.xz,0.785031,1.1376
server_029.champsimtrace.xz,0.780533,1.13771
server_030.champsimtrace.xz,0.813704,1.22084
server_031.champsimtrace.xz,0.773972,1.1409
server_032.champsimtrace.xz,0.802385,1.27382
server_033.champsimtrace.xz,0.875392,1.32761
server_034.champsimtrace.xz,0.898792,1.4468
server_035.champsimtrace.xz,0.734488,0.990862
server_036.champsimtrace.xz,0.870271,1.63453
server_037.champsimtrace.xz,0.85169,1.46701
server_038.champsimtrace.xz,0.854311,1.47322
server_039.champsimtrace.xz,0.85906,1.6068
spec_gcc_001.champsimtrace.xz,1.08585,1.13357
spec_gcc_002.champsimtrace.xz,0.182299,0.190026
spec_gcc_003.champsimtrace.xz,0.222201,0.243193
spec_gobmk_001.champsimtrace.xz,0.974015,1.0135
spec_gobmk_002.champsimtrace.xz,1.08221,1.14482
spec_perlbench_001.champsimtrace.xz,1.12345,1.17149
spec_x264_001.champsimtrace.xz,1.48507,1.58403
