Traces,Baseline IPC,mana-reduced2 IPC
client_001.champsimtrace.xz,0.971485,1.00543
client_002.champsimtrace.xz,1.2357,1.3226
client_003.champsimtrace.xz,0.946093,0.987537
client_004.champsimtrace.xz,1.01779,1.08078
client_005.champsimtrace.xz,0.99697,1.062
client_006.champsimtrace.xz,0.793325,0.854242
client_007.champsimtrace.xz,0.987859,1.08018
client_008.champsimtrace.xz,0.993548,1.05458
server_001.champsimtrace.xz,0.876525,0.960633
server_002.champsimtrace.xz,1.28475,1.45488
server_003.champsimtrace.xz,0.763768,0.859014
server_004.champsimtrace.xz,0.607689,0.675054
server_009.champsimtrace.xz,0.625405,0.702669
server_010.champsimtrace.xz,0.680623,0.783993
server_011.champsimtrace.xz,0.788531,0.93302
server_012.champsimtrace.xz,0.7932,0.962508
server_013.champsimtrace.xz,0.763907,0.935148
server_014.champsimtrace.xz,1.08271,1.3701
server_015.champsimtrace.xz,1.12801,1.46619
server_016.champsimtrace.xz,0.899607,1.0809
server_017.champsimtrace.xz,0.316959,0.336306
server_018.champsimtrace.xz,0.330731,0.354167
server_019.champsimtrace.xz,0.312674,0.331564
server_020.champsimtrace.xz,0.331548,0.355059
server_021.champsimtrace.xz,0.337511,0.362735
server_022.champsimtrace.xz,0.33838,0.363923
server_023.champsimtrace.xz,0.844059,1.0428
server_024.champsimtrace.xz,0.831351,1.0388
server_025.champsimtrace.xz,0.855832,1.06231
server_026.champsimtrace.xz,0.809649,1.01416
server_027.champsimtrace.xz,0.799818,1.00464
server_028.champsimtrace.xz,0.785031,0.976345
server_029.champsimtrace.xz,0.780533,0.968475
server_030.champsimtrace.xz,0.813704,1.02589
server_031.champsimtrace.xz,0.773972,0.965647
server_032.champsimtrace.xz,0.802385,1.03954
server_033.champsimtrace.xz,0.875392,1.16565
server_034.champsimtrace.xz,0.898792,1.23414
server_035.champsimtrace.xz,0.734488,0.903794
server_036.champsimtrace.xz,0.870271,1.47949
server_037.champsimtrace.xz,0.85169,1.31192
server_038.champsimtrace.xz,0.854311,1.30942
server_039.champsimtrace.xz,0.85906,1.38226
spec_gcc_001.champsimtrace.xz,1.08585,1.11072
spec_gcc_002.champsimtrace.xz,0.182299,0.189177
spec_gcc_003.champsimtrace.xz,0.222201,0.238156
spec_gobmk_001.champsimtrace.xz,0.974015,1.00647
spec_gobmk_002.champsimtrace.xz,1.08221,1.13419
spec_perlbench_001.champsimtrace.xz,1.12345,1.16202
spec_x264_001.champsimtrace.xz,1.48507,1.57285
