Traces,Baseline IPC,pips-reduced IPC
client_001.champsimtrace.xz,0.971485,1.01103
client_002.champsimtrace.xz,1.2357,1.35875
client_003.champsimtrace.xz,0.946093,1.01042
client_004.champsimtrace.xz,1.01779,1.1538
client_005.champsimtrace.xz,0.99697,1.09915
client_006.champsimtrace.xz,0.793325,0.861769
client_007.champsimtrace.xz,0.987859,1.10279
client_008.champsimtrace.xz,0.993548,1.07748
server_001.champsimtrace.xz,0.876525,0.977427
server_002.champsimtrace.xz,1.28475,1.49509
server_003.champsimtrace.xz,0.763768,0.88792
server_004.champsimtrace.xz,0.607689,0.707016
server_009.champsimtrace.xz,0.625405,0.721933
server_010.champsimtrace.xz,0.680623,0.816098
server_011.champsimtrace.xz,0.788531,0.999164
server_012.champsimtrace.xz,0.7932,1.01664
server_013.champsimtrace.xz,0.763907,0.974123
server_014.champsimtrace.xz,1.08271,1.41987
server_015.champsimtrace.xz,1.12801,1.51344
server_016.champsimtrace.xz,0.899607,1.06736
server_017.champsimtrace.xz,0.316959,0.33848
server_018.champsimtrace.xz,0.330731,0.355713
server_019.champsimtrace.xz,0.312674,0.333112
server_020.champsimtrace.xz,0.331548,0.357945
server_021.champsimtrace.xz,0.337511,0.364053
server_022.champsimtrace.xz,0.33838,0.36659
server_023.champsimtrace.xz,0.844059,1.03939
server_024.champsimtrace.xz,0.831351,1.03058
server_025.champsimtrace.xz,0.855832,1.05853
server_026.champsimtrace.xz,0.809649,0.983878
server_027.champsimtrace.xz,0.799818,0.997267
server_028.champsimtrace.xz,0.785031,0.986767
server_029.champsimtrace.xz,0.780533,0.984619
server_030.champsimtrace.xz,0.813704,1.00635
server_031.champsimtrace.xz,0.773972,0.980146
server_032.champsimtrace.xz,0.802385,1.0781
server_033.champsimtrace.xz,0.875392,1.26545
server_034.champsimtrace.xz,0.898792,1.36152
server_035.champsimtrace.xz,0.734488,0.956439
server_036.champsimtrace.xz,0.870271,1.60325
server_037.champsimtrace.xz,0.85169,1.41242
server_038.champsimtrace.xz,0.854311,1.42114
server_039.champsimtrace.xz,0.85906,1.55116
spec_gcc_001.champsimtrace.xz,1.08585,1.13504
spec_gcc_002.champsimtrace.xz,0.182299,0.196198
spec_gcc_003.champsimtrace.xz,0.222201,0.239291
spec_gobmk_001.champsimtrace.xz,0.974015,1.02135
spec_gobmk_002.champsimtrace.xz,1.08221,1.16232
spec_perlbench_001.champsimtrace.xz,1.12345,1.17247
spec_x264_001.champsimtrace.xz,1.48507,1.58096
