Traces,Baseline IPC,tap-reduced IPC
client_001.champsimtrace.xz,0.971485,0.99913
client_002.champsimtrace.xz,1.2357,1.28011
client_003.champsimtrace.xz,0.946093,0.966496
client_004.champsimtrace.xz,1.01779,1.04728
client_005.champsimtrace.xz,0.99697,1.03608
client_006.champsimtrace.xz,0.793325,0.851707
client_007.champsimtrace.xz,0.987859,1.06755
client_008.champsimtrace.xz,0.993548,1.03739
server_001.champsimtrace.xz,0.876525,0.947461
server_002.champsimtrace.xz,1.28475,1.48875
server_003.champsimtrace.xz,0.763768,0.844633
server_004.champsimtrace.xz,0.607689,0.675241
server_009.champsimtrace.xz,0.625405,0.695373
server_010.champsimtrace.xz,0.680623,0.770381
server_011.champsimtrace.xz,0.788531,0.909557
server_012.champsimtrace.xz,0.7932,0.941268
server_013.champsimtrace.xz,0.763907,0.90716
server_014.champsimtrace.xz,1.08271,1.40317
server_015.champsimtrace.xz,1.12801,1.50124
server_016.champsimtrace.xz,0.899607,1.01797
server_017.champsimtrace.xz,0.316959,0.338145
server_018.champsimtrace.xz,0.330731,0.355759
server_019.champsimtrace.xz,0.312674,0.332963
server_020.champsimtrace.xz,0.331548,0.357451
server_021.champsimtrace.xz,0.337511,0.365148
server_022.champsimtrace.xz,0.33838,0.366116
server_023.champsimtrace.xz,0.844059,0.975078
server_024.champsimtrace.xz,0.831351,0.979151
server_025.champsimtrace.xz,0.855832,1.00759
server_026.champsimtrace.xz,0.809649,0.967494
server_027.champsimtrace.xz,0.799818,0.948104
server_028.champsimtrace.xz,0.785031,0.965423
server_029.champsimtrace.xz,0.780533,0.959318
server_030.champsimtrace.xz,0.813704,0.990848
server_031.champsimtrace.xz,0.773972,0.962554
server_032.champsimtrace.xz,0.802385,1.0416
server_033.champsimtrace.xz,0.875392,1.18453
server_034.champsimtrace.xz,0.898792,1.26283
server_035.champsimtrace.xz,0.734488,0.916739
server_036.champsimtrace.xz,0.870271,1.59303
server_037.champsimtrace.xz,0.85169,1.40438
server_038.champsimtrace.xz,0.854311,1.41121
server_039.champsimtrace.xz,0.85906,1.5462
spec_gcc_001.champsimtrace.xz,1.08585,1.0452
spec_gcc_002.champsimtrace.xz,0.182299,0.184852
spec_gcc_003.champsimtrace.xz,0.222201,0.235517
spec_gobmk_001.champsimtrace.xz,0.974015,1.00566
spec_gobmk_002.champsimtrace.xz,1.08221,1.14378
spec_perlbench_001.champsimtrace.xz,1.12345,1.14877
spec_x264_001.champsimtrace.xz,1.48507,1.57716
