Traces,Baseline IPC,Barca+SHiP IPC
client_001.champsimtrace.xz,1.53075,1.48931
client_002.champsimtrace.xz,1.7595,1.55523
client_003.champsimtrace.xz,1.14885,1.72333
client_004.champsimtrace.xz,1.39365,1.80389
client_005.champsimtrace.xz,1.33715,1.14005
client_006.champsimtrace.xz,1.31223,1.16526
client_007.champsimtrace.xz,1.54623,1.36328
client_008.champsimtrace.xz,1.48557,1.40029
server_001.champsimtrace.xz,1.40699,1.33141
server_002.champsimtrace.xz,1.60118,1.37944
server_003.champsimtrace.xz,1.25477,1.27653
server_004.champsimtrace.xz,1.14165,1.33554
server_009.champsimtrace.xz,1.25892,1.54486
server_010.champsimtrace.xz,1.39716,1.59081
server_011.champsimtrace.xz,1.44791,1.47192
server_012.champsimtrace.xz,1.59342,1.52668
server_013.champsimtrace.xz,1.57398,1.39295
server_014.champsimtrace.xz,1.59178,1.44567
server_015.champsimtrace.xz,1.72235,1.56924
server_016.champsimtrace.xz,1.7835,1.59524
server_017.champsimtrace.xz,0.423376,1.22774
server_018.champsimtrace.xz,0.435203,1.25139
server_019.champsimtrace.xz,0.41516,1.12857
server_020.champsimtrace.xz,0.438576,1.15726
server_021.champsimtrace.xz,0.443911,1.24685
server_022.champsimtrace.xz,0.445293,1.28691
server_023.champsimtrace.xz,1.62852,1.374
server_024.champsimtrace.xz,1.59218,1.447
server_025.champsimtrace.xz,1.62279,1.41653
server_026.champsimtrace.xz,1.59525,1.49122
server_027.champsimtrace.xz,1.58408,1.59195
server_028.champsimtrace.xz,1.58169,1.6923
server_029.champsimtrace.xz,1.55288,1.5289
server_030.champsimtrace.xz,1.67697,1.62827
server_031.champsimtrace.xz,1.53193,1.54374
server_032.champsimtrace.xz,1.69641,1.60305
server_033.champsimtrace.xz,1.69641,1.68002
server_034.champsimtrace.xz,1.75818,1.73231
server_035.champsimtrace.xz,1.31124,1.78856
server_036.champsimtrace.xz,1.91047,1.85201
server_037.champsimtrace.xz,1.93509,0.4231
server_038.champsimtrace.xz,1.95588,0.423837
server_039.champsimtrace.xz,1.88168,0.434808
spec_gcc_001.champsimtrace.xz,1.53838,0.435394
spec_gcc_002.champsimtrace.xz,0.223979,0.4137
spec_gcc_003.champsimtrace.xz,0.257821,0.415291
spec_gobmk_001.champsimtrace.xz,1.2949,0.43485
spec_gobmk_002.champsimtrace.xz,1.29213,0.435583
spec_perlbench_001.champsimtrace.xz,1.63761,0.440383
spec_x264_001.champsimtrace.xz,2.62485,0.43925
