Traces,Baseline IPC,DRRIP IPC
client_001.champsimtrace.xz,1.53075,1.53161
client_002.champsimtrace.xz,1.7595,1.76132
client_003.champsimtrace.xz,1.14885,1.14925
client_004.champsimtrace.xz,1.39365,1.39438
client_005.champsimtrace.xz,1.33715,1.33707
client_006.champsimtrace.xz,1.31223,1.31663
client_007.champsimtrace.xz,1.54623,1.55049
client_008.champsimtrace.xz,1.48557,1.48924
server_001.champsimtrace.xz,1.40699,1.40968
server_002.champsimtrace.xz,1.60118,1.60647
server_003.champsimtrace.xz,1.25477,1.25487
server_004.champsimtrace.xz,1.14165,1.14151
server_009.champsimtrace.xz,1.25892,1.25827
server_010.champsimtrace.xz,1.39716,1.39638
server_011.champsimtrace.xz,1.44791,1.44654
server_012.champsimtrace.xz,1.59342,1.59141
server_013.champsimtrace.xz,1.57398,1.57214
server_014.champsimtrace.xz,1.59178,1.61188
server_015.champsimtrace.xz,1.72235,1.73956
server_016.champsimtrace.xz,1.7835,1.77917
server_017.champsimtrace.xz,0.423376,0.424155
server_018.champsimtrace.xz,0.435203,0.435577
server_019.champsimtrace.xz,0.41516,0.415745
server_020.champsimtrace.xz,0.438576,0.439031
server_021.champsimtrace.xz,0.443911,0.444111
server_022.champsimtrace.xz,0.445293,0.445407
server_023.champsimtrace.xz,1.62852,1.62456
server_024.champsimtrace.xz,1.59218,1.58817
server_025.champsimtrace.xz,1.62279,1.61888
server_026.champsimtrace.xz,1.59525,1.59143
server_027.champsimtrace.xz,1.58408,1.58015
server_028.champsimtrace.xz,1.58169,1.5795
server_029.champsimtrace.xz,1.55288,1.55077
server_030.champsimtrace.xz,1.67697,1.67405
server_031.champsimtrace.xz,1.53193,1.52834
server_032.champsimtrace.xz,1.69641,1.69128
server_033.champsimtrace.xz,1.69641,1.69394
server_034.champsimtrace.xz,1.75818,1.7551
server_035.champsimtrace.xz,1.31124,1.31081
server_036.champsimtrace.xz,1.91047,1.92812
server_037.champsimtrace.xz,1.93509,1.93903
server_038.champsimtrace.xz,1.95588,1.9603
server_039.champsimtrace.xz,1.88168,1.89271
spec_gcc_001.champsimtrace.xz,1.53838,1.53966
spec_gcc_002.champsimtrace.xz,0.223979,0.22428
spec_gcc_003.champsimtrace.xz,0.257821,0.258175
spec_gobmk_001.champsimtrace.xz,1.2949,1.29671
spec_gobmk_002.champsimtrace.xz,1.29213,1.29505
spec_perlbench_001.champsimtrace.xz,1.63761,1.6391
spec_x264_001.champsimtrace.xz,2.62485,2.63562
