Traces,Baseline IPC,FNL-MMA+DRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55681
client_002.champsimtrace.xz,1.7595,1.8126
client_003.champsimtrace.xz,1.14885,1.18424
client_004.champsimtrace.xz,1.39365,1.57353
client_005.champsimtrace.xz,1.33715,1.4136
client_006.champsimtrace.xz,1.31223,1.34978
client_007.champsimtrace.xz,1.54623,1.61144
client_008.champsimtrace.xz,1.48557,1.56221
server_001.champsimtrace.xz,1.40699,1.48444
server_002.champsimtrace.xz,1.60118,1.61828
server_003.champsimtrace.xz,1.25477,1.41144
server_004.champsimtrace.xz,1.14165,1.26516
server_009.champsimtrace.xz,1.25892,1.35041
server_010.champsimtrace.xz,1.39716,1.53112
server_011.champsimtrace.xz,1.44791,1.66517
server_012.champsimtrace.xz,1.59342,1.80165
server_013.champsimtrace.xz,1.57398,1.77173
server_014.champsimtrace.xz,1.59178,1.64373
server_015.champsimtrace.xz,1.72235,1.75582
server_016.champsimtrace.xz,1.7835,1.92901
server_017.champsimtrace.xz,0.423376,0.427218
server_018.champsimtrace.xz,0.435203,0.439672
server_019.champsimtrace.xz,0.41516,0.419034
server_020.champsimtrace.xz,0.438576,0.44292
server_021.champsimtrace.xz,0.443911,0.447794
server_022.champsimtrace.xz,0.445293,0.449398
server_023.champsimtrace.xz,1.62852,1.76977
server_024.champsimtrace.xz,1.59218,1.74468
server_025.champsimtrace.xz,1.62279,1.778
server_026.champsimtrace.xz,1.59525,1.75934
server_027.champsimtrace.xz,1.58408,1.7513
server_028.champsimtrace.xz,1.58169,1.70103
server_029.champsimtrace.xz,1.55288,1.70053
server_030.champsimtrace.xz,1.67697,1.81204
server_031.champsimtrace.xz,1.53193,1.66237
server_032.champsimtrace.xz,1.69641,1.83865
server_033.champsimtrace.xz,1.69641,1.86781
server_034.champsimtrace.xz,1.75818,1.95959
server_035.champsimtrace.xz,1.31124,1.39424
server_036.champsimtrace.xz,1.91047,2.07984
server_037.champsimtrace.xz,1.93509,2.04157
server_038.champsimtrace.xz,1.95588,2.05951
server_039.champsimtrace.xz,1.88168,2.01567
spec_gcc_001.champsimtrace.xz,1.53838,1.6028
spec_gcc_002.champsimtrace.xz,0.223979,0.241198
spec_gcc_003.champsimtrace.xz,0.257821,0.265311
spec_gobmk_001.champsimtrace.xz,1.2949,1.31527
spec_gobmk_002.champsimtrace.xz,1.29213,1.32088
spec_perlbench_001.champsimtrace.xz,1.63761,1.66808
spec_x264_001.champsimtrace.xz,2.62485,2.67162
