Traces,Baseline IPC,FNL-MMA+LIME IPC
client_001.champsimtrace.xz,1.53075,1.54159
client_002.champsimtrace.xz,1.7595,1.78579
client_003.champsimtrace.xz,1.14885,1.17752
client_004.champsimtrace.xz,1.39365,1.54449
client_005.champsimtrace.xz,1.33715,1.39722
client_006.champsimtrace.xz,1.31223,1.32934
client_007.champsimtrace.xz,1.54623,1.55548
client_008.champsimtrace.xz,1.48557,1.51302
server_001.champsimtrace.xz,1.40699,1.46177
server_002.champsimtrace.xz,1.60118,1.5965
server_003.champsimtrace.xz,1.25477,1.37195
server_004.champsimtrace.xz,1.14165,1.22339
server_009.champsimtrace.xz,1.25892,1.30295
server_010.champsimtrace.xz,1.39716,1.46275
server_011.champsimtrace.xz,1.44791,1.58588
server_012.champsimtrace.xz,1.59342,1.69649
server_013.champsimtrace.xz,1.57398,1.66759
server_014.champsimtrace.xz,1.59178,1.6185
server_015.champsimtrace.xz,1.72235,1.73348
server_016.champsimtrace.xz,1.7835,1.81341
server_017.champsimtrace.xz,0.423376,0.425036
server_018.champsimtrace.xz,0.435203,0.437272
server_019.champsimtrace.xz,0.41516,0.417133
server_020.champsimtrace.xz,0.438576,0.44081
server_021.champsimtrace.xz,0.443911,0.446234
server_022.champsimtrace.xz,0.445293,0.447416
server_023.champsimtrace.xz,1.62852,1.6557
server_024.champsimtrace.xz,1.59218,1.62889
server_025.champsimtrace.xz,1.62279,1.66476
server_026.champsimtrace.xz,1.59525,1.62891
server_027.champsimtrace.xz,1.58408,1.62232
server_028.champsimtrace.xz,1.58169,1.60336
server_029.champsimtrace.xz,1.55288,1.60362
server_030.champsimtrace.xz,1.67697,1.70345
server_031.champsimtrace.xz,1.53193,1.57081
server_032.champsimtrace.xz,1.69641,1.73763
server_033.champsimtrace.xz,1.69641,1.70265
server_034.champsimtrace.xz,1.75818,1.75997
server_035.champsimtrace.xz,1.31124,1.32064
server_036.champsimtrace.xz,1.91047,1.91429
server_037.champsimtrace.xz,1.93509,1.93637
server_038.champsimtrace.xz,1.95588,1.95736
server_039.champsimtrace.xz,1.88168,1.87992
spec_gcc_001.champsimtrace.xz,1.53838,1.59038
spec_gcc_002.champsimtrace.xz,0.223979,0.240125
spec_gcc_003.champsimtrace.xz,0.257821,0.263911
spec_gobmk_001.champsimtrace.xz,1.2949,1.29726
spec_gobmk_002.champsimtrace.xz,1.29213,1.29385
spec_perlbench_001.champsimtrace.xz,1.63761,1.6499
spec_x264_001.champsimtrace.xz,2.62485,2.62802
