Traces,Baseline IPC,FNL-MMA+SHiP++ IPC
client_001.champsimtrace.xz,1.53075,1.50043
client_002.champsimtrace.xz,1.7595,1.70427
client_003.champsimtrace.xz,1.14885,1.14809
client_004.champsimtrace.xz,1.39365,1.50607
client_005.champsimtrace.xz,1.33715,1.35052
client_006.champsimtrace.xz,1.31223,1.30018
client_007.champsimtrace.xz,1.54623,1.56231
client_008.champsimtrace.xz,1.48557,1.50588
server_001.champsimtrace.xz,1.40699,1.4349
server_002.champsimtrace.xz,1.60118,1.58805
server_003.champsimtrace.xz,1.25477,1.34327
server_004.champsimtrace.xz,1.14165,1.21105
server_009.champsimtrace.xz,1.25892,1.27995
server_010.champsimtrace.xz,1.39716,1.43251
server_011.champsimtrace.xz,1.44791,1.53658
server_012.champsimtrace.xz,1.59342,1.65006
server_013.champsimtrace.xz,1.57398,1.61183
server_014.champsimtrace.xz,1.59178,1.58698
server_015.champsimtrace.xz,1.72235,1.71678
server_016.champsimtrace.xz,1.7835,1.84242
server_017.champsimtrace.xz,0.423376,0.426941
server_018.champsimtrace.xz,0.435203,0.439452
server_019.champsimtrace.xz,0.41516,0.418629
server_020.champsimtrace.xz,0.438576,0.443015
server_021.champsimtrace.xz,0.443911,0.448299
server_022.champsimtrace.xz,0.445293,0.449791
server_023.champsimtrace.xz,1.62852,1.68261
server_024.champsimtrace.xz,1.59218,1.65815
server_025.champsimtrace.xz,1.62279,1.6916
server_026.champsimtrace.xz,1.59525,1.66018
server_027.champsimtrace.xz,1.58408,1.65569
server_028.champsimtrace.xz,1.58169,1.62807
server_029.champsimtrace.xz,1.55288,1.63019
server_030.champsimtrace.xz,1.67697,1.73005
server_031.champsimtrace.xz,1.53193,1.59784
server_032.champsimtrace.xz,1.69641,1.76208
server_033.champsimtrace.xz,1.69641,1.78742
server_034.champsimtrace.xz,1.75818,1.85562
server_035.champsimtrace.xz,1.31124,1.36009
server_036.champsimtrace.xz,1.91047,2.02339
server_037.champsimtrace.xz,1.93509,1.99159
server_038.champsimtrace.xz,1.95588,2.01576
server_039.champsimtrace.xz,1.88168,1.96508
spec_gcc_001.champsimtrace.xz,1.53838,1.50235
spec_gcc_002.champsimtrace.xz,0.223979,0.239398
spec_gcc_003.champsimtrace.xz,0.257821,0.263695
spec_gobmk_001.champsimtrace.xz,1.2949,1.23977
spec_gobmk_002.champsimtrace.xz,1.29213,1.21014
spec_perlbench_001.champsimtrace.xz,1.63761,1.59797
spec_x264_001.champsimtrace.xz,2.62485,2.6405
