Traces,Baseline IPC,FNL-MMA+SHiP IPC
client_001.champsimtrace.xz,1.53075,1.50043
client_002.champsimtrace.xz,1.7595,1.55658
client_003.champsimtrace.xz,1.14885,1.70427
client_004.champsimtrace.xz,1.39365,1.81248
client_005.champsimtrace.xz,1.33715,1.14809
client_006.champsimtrace.xz,1.31223,1.18407
client_007.champsimtrace.xz,1.54623,1.50607
client_008.champsimtrace.xz,1.48557,1.5742
server_001.champsimtrace.xz,1.40699,1.35052
server_002.champsimtrace.xz,1.60118,1.41377
server_003.champsimtrace.xz,1.25477,1.30018
server_004.champsimtrace.xz,1.14165,1.35021
server_009.champsimtrace.xz,1.25892,1.56231
server_010.champsimtrace.xz,1.39716,1.61171
server_011.champsimtrace.xz,1.44791,1.50588
server_012.champsimtrace.xz,1.59342,1.56227
server_013.champsimtrace.xz,1.57398,1.4349
server_014.champsimtrace.xz,1.59178,1.4839
server_015.champsimtrace.xz,1.72235,1.58805
server_016.champsimtrace.xz,1.7835,1.61891
server_017.champsimtrace.xz,0.423376,1.34327
server_018.champsimtrace.xz,0.435203,1.41032
server_019.champsimtrace.xz,0.41516,1.21105
server_020.champsimtrace.xz,0.438576,1.26741
server_021.champsimtrace.xz,0.443911,1.27995
server_022.champsimtrace.xz,0.445293,1.35162
server_023.champsimtrace.xz,1.62852,1.43251
server_024.champsimtrace.xz,1.59218,1.53176
server_025.champsimtrace.xz,1.62279,1.53658
server_026.champsimtrace.xz,1.59525,1.66753
server_027.champsimtrace.xz,1.58408,1.65006
server_028.champsimtrace.xz,1.58169,1.8025
server_029.champsimtrace.xz,1.55288,1.61183
server_030.champsimtrace.xz,1.67697,1.77246
server_031.champsimtrace.xz,1.53193,1.58698
server_032.champsimtrace.xz,1.69641,1.64332
server_033.champsimtrace.xz,1.69641,1.71678
server_034.champsimtrace.xz,1.75818,1.75789
server_035.champsimtrace.xz,1.31124,1.84242
server_036.champsimtrace.xz,1.91047,1.93132
server_037.champsimtrace.xz,1.93509,0.426941
server_038.champsimtrace.xz,1.95588,0.427201
server_039.champsimtrace.xz,1.88168,0.439452
spec_gcc_001.champsimtrace.xz,1.53838,0.439624
spec_gcc_002.champsimtrace.xz,0.223979,0.418629
spec_gcc_003.champsimtrace.xz,0.257821,0.419161
spec_gobmk_001.champsimtrace.xz,1.2949,0.443015
spec_gobmk_002.champsimtrace.xz,1.29213,0.442968
spec_perlbench_001.champsimtrace.xz,1.63761,0.448299
spec_x264_001.champsimtrace.xz,2.62485,0.447824
