Traces,Baseline IPC,PIPS+DRRIP IPC
client_001.champsimtrace.xz,1.53075,1.55517
client_002.champsimtrace.xz,1.7595,1.84433
client_003.champsimtrace.xz,1.14885,1.19431
client_004.champsimtrace.xz,1.39365,1.59939
client_005.champsimtrace.xz,1.33715,1.42955
client_006.champsimtrace.xz,1.31223,1.34309
client_007.champsimtrace.xz,1.54623,1.61454
client_008.champsimtrace.xz,1.48557,1.57741
server_001.champsimtrace.xz,1.40699,1.45619
server_002.champsimtrace.xz,1.60118,1.61962
server_003.champsimtrace.xz,1.25477,1.35723
server_004.champsimtrace.xz,1.14165,1.23584
server_009.champsimtrace.xz,1.25892,1.33118
server_010.champsimtrace.xz,1.39716,1.49975
server_011.champsimtrace.xz,1.44791,1.63734
server_012.champsimtrace.xz,1.59342,1.76115
server_013.champsimtrace.xz,1.57398,1.70562
server_014.champsimtrace.xz,1.59178,1.64144
server_015.champsimtrace.xz,1.72235,1.75904
server_016.champsimtrace.xz,1.7835,1.88977
server_017.champsimtrace.xz,0.423376,0.427639
server_018.champsimtrace.xz,0.435203,0.440789
server_019.champsimtrace.xz,0.41516,0.420478
server_020.champsimtrace.xz,0.438576,0.442976
server_021.champsimtrace.xz,0.443911,0.448663
server_022.champsimtrace.xz,0.445293,0.448026
server_023.champsimtrace.xz,1.62852,1.74256
server_024.champsimtrace.xz,1.59218,1.71128
server_025.champsimtrace.xz,1.62279,1.74429
server_026.champsimtrace.xz,1.59525,1.71948
server_027.champsimtrace.xz,1.58408,1.71407
server_028.champsimtrace.xz,1.58169,1.67555
server_029.champsimtrace.xz,1.55288,1.66513
server_030.champsimtrace.xz,1.67697,1.76405
server_031.champsimtrace.xz,1.53193,1.64174
server_032.champsimtrace.xz,1.69641,1.81965
server_033.champsimtrace.xz,1.69641,1.85153
server_034.champsimtrace.xz,1.75818,1.94788
server_035.champsimtrace.xz,1.31124,1.38942
server_036.champsimtrace.xz,1.91047,2.07292
server_037.champsimtrace.xz,1.93509,2.04498
server_038.champsimtrace.xz,1.95588,2.05046
server_039.champsimtrace.xz,1.88168,2.01361
spec_gcc_001.champsimtrace.xz,1.53838,1.6188
spec_gcc_002.champsimtrace.xz,0.223979,0.241803
spec_gcc_003.champsimtrace.xz,0.257821,0.271153
spec_gobmk_001.champsimtrace.xz,1.2949,1.32506
spec_gobmk_002.champsimtrace.xz,1.29213,1.33794
spec_perlbench_001.champsimtrace.xz,1.63761,1.68297
spec_x264_001.champsimtrace.xz,2.62485,2.67256
