Traces,Baseline IPC,SHiP IPC
client_001.champsimtrace.xz,1.53075,1.47316
client_002.champsimtrace.xz,1.7595,1.53165
client_003.champsimtrace.xz,1.14885,1.64304
client_004.champsimtrace.xz,1.39365,1.76157
client_005.champsimtrace.xz,1.33715,1.11193
client_006.champsimtrace.xz,1.31223,1.14927
client_007.champsimtrace.xz,1.54623,1.33854
client_008.champsimtrace.xz,1.48557,1.39438
server_001.champsimtrace.xz,1.40699,1.27709
server_002.champsimtrace.xz,1.60118,1.3372
server_003.champsimtrace.xz,1.25477,1.2638
server_004.champsimtrace.xz,1.14165,1.31644
server_009.champsimtrace.xz,1.25892,1.51704
server_010.champsimtrace.xz,1.39716,1.55009
server_011.champsimtrace.xz,1.44791,1.44226
server_012.champsimtrace.xz,1.59342,1.48921
server_013.champsimtrace.xz,1.57398,1.36787
server_014.champsimtrace.xz,1.59178,1.40993
server_015.champsimtrace.xz,1.72235,1.53739
server_016.champsimtrace.xz,1.7835,1.60679
server_017.champsimtrace.xz,0.423376,1.20547
server_018.champsimtrace.xz,0.435203,1.25514
server_019.champsimtrace.xz,0.41516,1.10429
server_020.champsimtrace.xz,0.438576,1.14164
server_021.champsimtrace.xz,0.443911,1.20714
server_022.champsimtrace.xz,0.445293,1.25856
server_023.champsimtrace.xz,1.62852,1.32638
server_024.champsimtrace.xz,1.59218,1.39673
server_025.champsimtrace.xz,1.62279,1.35952
server_026.champsimtrace.xz,1.59525,1.44781
server_027.champsimtrace.xz,1.58408,1.49112
server_028.champsimtrace.xz,1.58169,1.59194
server_029.champsimtrace.xz,1.55288,1.46814
server_030.champsimtrace.xz,1.67697,1.57324
server_031.champsimtrace.xz,1.53193,1.51156
server_032.champsimtrace.xz,1.69641,1.61293
server_033.champsimtrace.xz,1.69641,1.64484
server_034.champsimtrace.xz,1.75818,1.73956
server_035.champsimtrace.xz,1.31124,1.74274
server_036.champsimtrace.xz,1.91047,1.77967
server_037.champsimtrace.xz,1.93509,0.423528
server_038.champsimtrace.xz,1.95588,0.424115
server_039.champsimtrace.xz,1.88168,0.43487
spec_gcc_001.champsimtrace.xz,1.53838,0.435522
spec_gcc_002.champsimtrace.xz,0.223979,0.415029
spec_gcc_003.champsimtrace.xz,0.257821,0.41573
spec_gobmk_001.champsimtrace.xz,1.2949,0.438715
spec_gobmk_002.champsimtrace.xz,1.29213,0.439056
spec_perlbench_001.champsimtrace.xz,1.63761,0.443976
spec_x264_001.champsimtrace.xz,2.62485,0.444067
