Traces,Baseline IPC,LRU IPC,SHiP++ IPC,LIME IPC,SHiP IPC,SRRIP IPC,DRRIP IPC,,FNL-MMA+SRRIP IPC,FNL-MMA+DRRIP IPC,FNL-MMA+LIME IPC,PIPS+SRRIP IPC,PIPS+DRRIP IPC,PIPS+LIME IPC
client_001.champsimtrace.xz,1.53075,1.53075,1.47316,1.53097,1.47316,1.53165,1.53161,,1.55658,1.55681,1.54159,1.55509,1.55517,1.543
client_002.champsimtrace.xz,1.7595,1.7595,1.64304,1.75943,1.53165,1.76157,1.76132,,1.81248,1.8126,1.78579,1.84373,1.84433,1.80614
client_003.champsimtrace.xz,1.14885,1.14885,1.11193,1.14877,1.64304,1.14927,1.14925,,1.18407,1.18424,1.17752,1.1954,1.19431,1.18192
client_004.champsimtrace.xz,1.39365,1.39365,1.33854,1.39358,1.76157,1.39438,1.39438,,1.5742,1.57353,1.54449,1.60005,1.59939,1.56431
client_005.champsimtrace.xz,1.33715,1.33715,1.27709,1.33682,1.11193,1.3372,1.33707,,1.41377,1.4136,1.39722,1.43051,1.42955,1.40794
client_006.champsimtrace.xz,1.31223,1.31223,1.2638,1.31316,1.14927,1.31644,1.31663,,1.35021,1.34978,1.32934,1.34265,1.34309,1.32378
client_007.champsimtrace.xz,1.54623,1.54623,1.51704,1.546,1.33854,1.55009,1.55049,,1.61171,1.61144,1.55548,1.61462,1.61454,1.55726
client_008.champsimtrace.xz,1.48557,1.48557,1.44226,1.48557,1.39438,1.48921,1.48924,,1.56227,1.56221,1.51302,1.57756,1.57741,1.52302
server_001.champsimtrace.xz,1.40699,1.40699,1.36787,1.40804,1.27709,1.40993,1.40968,,1.4839,1.48444,1.46177,1.4578,1.45619,1.43255
server_002.champsimtrace.xz,1.60118,1.60118,1.53739,1.59642,1.3372,1.60679,1.60647,,1.61891,1.61828,1.5965,1.61967,1.61962,1.59741
server_003.champsimtrace.xz,1.25477,1.25477,1.20547,1.25472,1.2638,1.25514,1.25487,,1.41032,1.41144,1.37195,1.3579,1.35723,1.33353
server_004.champsimtrace.xz,1.14165,1.14165,1.10429,1.14148,1.31644,1.14164,1.14151,,1.26741,1.26516,1.22339,1.23585,1.23584,1.20346
server_009.champsimtrace.xz,1.25892,1.25892,1.20714,1.25888,1.51704,1.25856,1.25827,,1.35162,1.35041,1.30295,1.33196,1.33118,1.29482
